DEPARTAMENTO;PROVINCIA;DISTRITO;CENTRO DE ATENCION;ESTADO;HORARIOS DE ATENCIÓN; DIRECCIÓN 
CAJAMARCA;CHOTA;CHOTA;AG CHOTA;OPERATIVO;08:45 - 16:45  ;30 de Agosto Nº  848
PIURA;MORROPON;CHULUCANAS;AG CHULUCANAS;OPERATIVO;08:45 - 16:45  ;Lima Nº 496-498 formando esquina con Jr. Ayacucho y Jr. Callao
PIURA;SECHURA;SECHURA;PAP SECHURA;OPERATIVO;08:15 - 13:45  ;Dos de Mayo Nº 618 - Plaza de Armas - Municipalidad de Sechura
PIURA;PAITA;PAITA;PAP PAITA;OPERATIVO;08:15 - 13:45  ;San Martin S/N Plaza de Armas - Municipalidad de Paita
PIURA;PIURA;PIURA;OR PIURA;OPERATIVO;08:45 - 16:45  ;Libertad Nº 568
LAMBAYEQUE;CHICLAYO;CHICLAYO;OR CHICLAYO;OPERATIVO;08:45 - 16:45  ;Balta N° 658 y esquina con Av. Elias Aguirre
LAMBAYEQUE;CHICLAYO;JOSE LEONARDO ORTIZ;OR JOSÉ LEONARDO ORTIZ;OPERATIVO;08:45 - 16:45  ;Cacique Cinto Nº 317 Urb. Latina
PIURA;SULLANA;SULLANA;OR SULLANA;OPERATIVO;08:45 - 16:45  ;Leoncio Prado Nº 515 - 517 - 519
TUMBES;TUMBES;TUMBES;OR TUMBES;OPERATIVO;08:45 - 16:45  ;Av. Tumbes N° 550 – Tumbes 
PIURA;PIURA;TAMBO GRANDE;PAP TAMBOGRANDE;OPERATIVO;08:15 - 13:45  ;Jr Castilla N° 449 - Plaza de Armas
PIURA;AYABACA;FRÍAS;OR FRIAS;OPERATIVO;08:45 - 16:45  ;Lima Nº 235
LAMBAYEQUE;FERREÑAFE;FERREÑAFE;PAP FERREÑAFE;OPERATIVO;08:45 - 16:45  ;Tres Marías Nº 717 – B
CAJAMARCA;CUTERVO;CUTERVO;PAP CUTERVO;OPERATIVO;08:45 - 16:45  ;Comercio N° 1103
CAJAMARCA;SANTA CRUZ;SANTA CRUZ;PAP SANTA CRUZ;OPERATIVO;08:15 - 13:45  ;Domingo Negrón Nº 441
PIURA;TALARA;PARIÑAS;AG TALARA;OPERATIVO;08:45 - 16:45  ;Martires Petroleros B-3 Conjunto Habitacional - Talara
LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;PAP LAMBAYEQUE;OPERATIVO;08:45 - 16:45  ;Av. Huamachuco 342
PIURA;AYABACA;AYABACA;PAP AYABACA;OPERATIVO;08:15 - 13:45  ;Bolognesi N° 181
PIURA;HUANCABAMBA;HUANCABAMBA;PAP HUANCABAMBA;OPERATIVO;08:15 - 13:45  ;Complejo Terminal Terrestre S/N - Stand 14
TUMBES;CONTRALMIRANTE VILLAR;ZORRITOS;PANP CONTRALMIRANTE VILLAR - ZORRITOS;OPERATIVO PARCIAL;08:15 - 13:45  ;Grau Nº 305
TUMBES;ZARUMILLA;ZARUMILLO;ZARUMILLA;OPERATIVO;08:15 - 13:45  ;El Ejercito Nº 105 - Interior Biblioteca Municipal
TUMBES;TUMBES;TUMBES;ORA HOSPITAL REGIONAL JOSE ALFREDO MENDOZA OLAVARRIA JAMO II-2;OPERATIVO;08:15 - 13:45  ;Av. Prol. Fernando Belaunde N°. S/N A.H. Ciudadela Noe III Etapa Tumbes
LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;ORA HOSPITAL PROVINCIAL DOCENTE BELEN-LAMBAYEQUE;OPERATIVO;08:15 - 13:45  ;Av. Ramon Castilla  Nº 597
LAMBAYEQUE;CHICLAYO;CHICLAYO;ORA HOSPITAL REGIONAL DOCENTE LAS MERCEDES;OPERATIVO;08:15 - 13:45  ;Luis Gonzáles  Nº 635
CAJAMARCA;CHOTA;CHOTA;ORA HOSPITAL DE APOYO CHOTA - JOSE SOTO CADENILLAS ;OPERATIVO;08:15 - 13:45  ;Ezequiel Montoya Nª 718
