DEPARTAMENTO;PROVINCIA;DISTRITO;NOMBRE LOCAL;ESTADO DE REINICIO DE OPERACIONES;HORARIO DE ATENCIÓN AL PUBLICO; DIRECCION 
LAMBAYEQUE;CHICLAYO;CHICLAYO;ORA HOSPITAL REGIONAL DOCENTE LAS MERCEDES;OPERATIVO;08:45 a 16:30;Avenida Luis Gonzáles  Nº 635
LAMBAYEQUE;CHICLAYO;CHICLAYO;ORA HOSPITAL ALMANZOR AGUINAGA ASENJO;OPERATIVO;08:45 a 16:30;Plaza Plaza de la Seguridad Social S/N
PIURA;SULLANA;SULLANA;ORA HOSPITAL DE APOYO II-SULLANA;OPERATIVO;08:45 a 16:30;Avenida Santa Rosa S/N
CAJAMARCA;CUTERVO;CUTERVO;PAP CUTERVO;OPERATIVO;08:45 a 16:45;Calle Jr. Comercio N° 1103 Mz. 203 Lt. 14-Urb. Los Jardines 
CAJAMARCA;CHOTA;CHOTA;AG CHOTA;OPERATIVO;08:45 a 16:45;Jirón Jr. 30 de Agosto N° 848
CAJAMARCA;SANTA CRUZ;SANTA CRUZ;PAP SANTA CRUZ;OPERATIVO;08:45 a 16:30;Jirón Domingo Negrón Nº 399
LAMBAYEQUE;CHICLAYO;JOSE LEONARDO ORTIZ;OR JOSÉ LEONARDO ORTIZ;OPERATIVO;08:45 a 16:45;Calle Cacique Cinto Nº 317 Urb. Latina
PIURA;AYABACA;FRÍAS;OR FRIAS;OPERATIVO;08:45 a 16:30;Calle Lima Nº 235 - 2do piso
LAMBAYEQUE;CHICLAYO;CHICLAYO;OR CHICLAYO;OPERATIVO;08:45 a 16:45;Avenida Balta N° 680 y esquina con Av. Elias Aguirre
LAMBAYEQUE;FERREÑAFE;FERREÑAFE;PAP FERREÑAFE;OPERATIVO;08:45 a 16:45;Calle Tres Marías Nº 717 – B
LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;PAP LAMBAYEQUE;OPERATIVO;08:45 a 16:45;Avenida Huamachuco N° 342
CAJAMARCA;CUTERVO;CUTERVO;ORA SANTA MARIA DE CUTERVO;OPERATIVO;08:45 a 16:30;Jirón Ica S/N
CAJAMARCA;CHOTA;CHOTA;ORA HOSPITAL DE APOYO CHOTA - JOSE SOTO CADENILLAS;OPERATIVO;08:45 a 16:30;Jirón Ezequiel Montoya Nª 718
PIURA;PIURA;PIURA;OR PIURA;OPERATIVO;08:45 a 16:45;Calle Libertad Nº 568
PIURA;AYABACA;AYABACA;PAP AYABACA;OPERATIVO;08:45 a 16:30;Calle Bolognesi N° 181
PIURA;HUANCABAMBA;HUANCABAMBA;PAP HUANCABAMBA;OPERATIVO;08:45 a 16:30;- Complejo Terminal Terrestre S/N - Stand 14
PIURA;MORROPON;CHULUCANAS;AG CHULUCANAS;OPERATIVO;08:45 a 16:45;Jirón Jr. Cuzco N° 300
PIURA;PAITA;PAITA;PAP PAITA;OPERATIVO;08:45 a 16:30;Jirón San Martin S/N Plaza de Armas - Municipalidad de Paita
PIURA;SULLANA;SULLANA;OR SULLANA;OPERATIVO;08:45 a 16:45;Calle Leoncio Prado Nº 517 
