DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO DE ATENCION,ESTADO,HORARIOS,DIRECCION
JUNIN,SATIPO,MAZAMARI,PAP MAZAMARI,OPERATIVO,08:45 a 16:45,AVENIDA SAN JUAN N° 377
ANCASH,ANTONIO RAIMONDI,LLAMELLIN,PANP ANTONIO RAIMONDI,DESPLAZAMIENTO,08:45 a 16:45,Jirón Simón Bolívar N° 229
JUNIN,HUANCAYO,EL TAMBO,OR HUANCAYO,OPERATIVO,08:45 a 16:45,AVENIDA MARISCAL CASTILLA Nº 1801
JUNIN,TARMA,TARMA,OR TARMA,OPERATIVO,08:45 a 16:45,JIRÓN AREQUIPA Nº 939
JUNIN,CHANCHAMAYO,LA MERCED,OR CHANCHAMAYO,OPERATIVO,08:45 a 16:45,PROLONGACIÓN TARMA Nº 242
JUNIN,SATIPO,PANGOA,PAP PANGOA,OPERATIVO,08:45 a 16:45,CALLE 07 DE JUNIO Nº 641 PLAZA PRINCIPAL CENTRO CIVICO
JUNIN,CONCEPCION,CONCEPCIÓN,PAP CONCEPCIÓN,OPERATIVO,08:45 a 16:45,JIRÓN RICARDO PALMA S/N MERCADO MODELO INTERIOR 1
JUNIN,JAUJA,JAUJA,PAP JAUJA,OPERATIVO,08:45 a 16:45,JIRÓN SUCRE N° 889
JUNIN,JUNIN,JUNIN,PAP JUNIN,OPERATIVO,08:45 a 16:45,JIRÓN SIMÓN BOLIVAR N° 820
JUNIN,YAULI,SANTA ROSA DE SACCO,PAP YAULI,OPERATIVO,08:45 a 16:45,AVENIDA MIGUEL GRAU N° 309
JUNIN,SATIPO,SATIPO,PAP SATIPO,OPERATIVO,08:45 a 16:45,AVENIDA MICAELA BASTIDAS 747 - INT. 1A - CENTRO CIVICO
JUNIN,CHUPACA,CHUPACA,PAP CHUPACA,OPERATIVO,08:45 a 16:45,JIRÓN GRAU N° 195 - CENTRO CÍVICO
JUNIN,CHANCHAMAYO,PICHANAQUI,PAP PICHANAQUI,OPERATIVO,08:45 a 16:45,JIRÓN INDEPENDENCIA S/N COLISEO MUNICIPAL
JUNIN,HUANCAYO,HUANCAYO,"ORA REGIONAL DOCENTE MATERNO INFANTIL ""EL CARMEN""",OPERATIVO,08:45 a 16:30,JIRÓN PUNO Nº 911
JUNIN,TARMA,TARMA,ORA DE APOYO FELIX MAYORCA SOTO,OPERATIVO,08:45 a 16:30,AVENIDA PACHECO Nº 362
JUNIN,JAUJA,JAUJA,ORA HOSPITAL DOMINGO OLAVEGOYA,OPERATIVO,08:45 a 16:30,JIRÓN SAN MARTÍN Nº 1153 URB. OLAVEGOYA
JUNIN,SATIPO,SATIPO,ORA DE APOYO MANUEL HIGA ARAKAKI,OPERATIVO,08:45 a 16:30,CALLE DANIEL ALCIDES CARRIÓN Nº 398
JUNIN,CHANCHAMAYO,PICHANAQUI,ORA HOSPITAL DE APOYO PICHANAQUI,OPERATIVO,08:45 a 16:30,AVENIDA SAN MARTÍN S/N PICHANAKI
