PERIODO,DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO DE ATENCION,ESTADO,HORARIOS,DIRECCION,ARCHIVO_ORIGEN
2021-01-01,CAJAMARCA,CHOTA,CHOTA,AG CHOTA,OPERATIVO,08:45 - 16:45,30 de Agosto NÂº  848,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,PIURA,MORROPON,CHULUCANAS,AG CHULUCANAS,OPERATIVO,08:45 - 16:45,Lima NÂº 496-498 formando esquina con Jr. Ayacucho y Jr. Callao,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,PIURA,SECHURA,SECHURA,PAP SECHURA,OPERATIVO,08:15 - 13:45,Dos de Mayo NÂº 618 - Plaza de Armas - Municipalidad de Sechura,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,PIURA,PAITA,PAITA,PAP PAITA,OPERATIVO,08:15 - 13:45,San Martin S/N Plaza de Armas - Municipalidad de Paita,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,PIURA,PIURA,PIURA,OR PIURA,OPERATIVO,08:45 - 16:45,Libertad NÂº 568,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,LAMBAYEQUE,CHICLAYO,CHICLAYO,OR CHICLAYO,OPERATIVO,08:45 - 16:45,Balta NÂ° 658 y esquina con Av. Elias Aguirre,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,OR JOSÃ LEONARDO ORTIZ,OPERATIVO,08:45 - 16:45,Cacique Cinto NÂº 317 Urb. Latina,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,PIURA,SULLANA,SULLANA,OR SULLANA,OPERATIVO,08:45 - 16:45,Leoncio Prado NÂº 515 - 517 - 519,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,TUMBES,TUMBES,TUMBES,OR TUMBES,OPERATIVO,08:45 - 16:45,Av. Tumbes NÂ° 550 â Tumbes,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,PIURA,PIURA,TAMBO GRANDE,PAP TAMBOGRANDE,OPERATIVO,08:15 - 13:45,Jr Castilla NÂ° 449 - Plaza de Armas,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,PIURA,AYABACA,FRÃAS,OR FRIAS,OPERATIVO,08:45 - 16:45,Lima NÂº 235,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,LAMBAYEQUE,FERREÃAFE,FERREÃAFE,PAP FERREÃAFE,OPERATIVO,08:45 - 16:45,Tres MarÃ­as NÂº 717 â B,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,CAJAMARCA,CUTERVO,CUTERVO,PAP CUTERVO,OPERATIVO,08:45 - 16:45,Comercio NÂ° 1103,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,CAJAMARCA,SANTA CRUZ,SANTA CRUZ,PAP SANTA CRUZ,OPERATIVO,08:15 - 13:45,Domingo NegrÃ³n NÂº 441,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,PIURA,TALARA,PARIÃAS,AG TALARA,OPERATIVO,08:45 - 16:45,Martires Petroleros B-3 Conjunto Habitacional - Talara,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,PAP LAMBAYEQUE,OPERATIVO,08:45 - 16:45,Av. Huamachuco 342,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,PIURA,AYABACA,AYABACA,PAP AYABACA,OPERATIVO,08:15 - 13:45,Bolognesi NÂ° 181,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,PIURA,HUANCABAMBA,HUANCABAMBA,PAP HUANCABAMBA,OPERATIVO,08:15 - 13:45,Complejo Terminal Terrestre S/N - Stand 14,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,PANP CONTRALMIRANTE VILLAR - ZORRITOS,OPERATIVO PARCIAL,08:15 - 13:45,Grau NÂº 305,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,TUMBES,ZARUMILLA,ZARUMILLO,ZARUMILLA,OPERATIVO,08:15 - 13:45,El Ejercito NÂº 105 - Interior Biblioteca Municipal,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,TUMBES,TUMBES,TUMBES,ORA HOSPITAL REGIONAL JOSE ALFREDO MENDOZA OLAVARRIA JAMO II-2,OPERATIVO,08:15 - 13:45,Av. Prol. Fernando Belaunde NÂ°. S/N A.H. Ciudadela Noe III Etapa Tumbes,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,ORA HOSPITAL PROVINCIAL DOCENTE BELEN-LAMBAYEQUE,OPERATIVO,08:15 - 13:45,Av. Ramon Castilla  NÂº 597,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,LAMBAYEQUE,CHICLAYO,CHICLAYO,ORA HOSPITAL REGIONAL DOCENTE LAS MERCEDES,OPERATIVO,08:15 - 13:45,Luis GonzÃ¡les  NÂº 635,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,CAJAMARCA,CHOTA,CHOTA,ORA HOSPITAL DE APOYO CHOTA - JOSE SOTO CADENILLAS,OPERATIVO,08:15 - 13:45,Ezequiel Montoya NÂª 718,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,PIURA,SULLANA,SULLANA,DE APOYO II-SULLANA,OPERATIVO,08:15 - 13:45,SANTA ROSA S/N,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,PIURA,PIURA,TAMBOGRANDE,TAMBOGRANDE,OPERATIVO,08:15 - 13:45,Jr Castilla NÂ° 449 - Plaza de Armas,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,CAJAMARCA,CUTERVO,CUTERVO,HOSPITAL SANTA MARIA DE CUTERVO,OPERATIVO,08:15 - 13:45,Ica S/N,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,LAMBAYEQUE,OLMOS,OLMOS,PANP OLMOS,OPERATIVO PARCIAL,08:15 - 13:45,Av. A. b. Leguia/Calle Alfonso Ugarte,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,PIURA,PIURA,PIURA,MAC PIURA,OPERATIVO,Lun a Vie 08:00 - 16:45  Sab 08:00 - 13:45,Sanchez Cerro con Wiesse Centro Comercial Real Plaza,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,LA LIBERTAD,TRUJILLO,TRUJILLO,OR TRUJILLO I,OPERATIVO,08:45 - 16:45,Pablo Casals Mz. A Lote 6 Urb. Los Cedros,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,OR TRUJILLO II,OPERATIVO,08:45 - 16:45,Larco NÂº 1096 - 1Âº Piso,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,LA LIBERTAD,TRUJILLO,EL PORVENIR,OR EL PORVENIR,OPERATIVO,08:45 - 16:45,Gabriel Aguilar NÂº 1657,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,LA LIBERTAD,TRUJILLO,EL PORVENIR,OR ALTO TRUJILLO,OPERATIVO,08:45 - 16:45,Mz. T Lote 2 del Barrio 3,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,CAJAMARCA,CAJAMARCA,CAJAMARCA,OR CAJAMARCA,OPERATIVO,08:45 - 16:45,"Del Comercio NÂº 629-633 (Ex Jiron Lima NÂ° 611, 613 y 619)",1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,LA LIBERTAD,PATAZ,PARCOY,OR PARCOY,OPERATIVO,08:15 - 13:45,San MartÃ­n NÂ° 859,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,LA LIBERTAD,OTUZCO,OTUZCO,AG OTUZCO,OPERATIVO,08:45 - 16:45,ElÃ­as Armas Castillo Lote 5-E-1 Mz. 28,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,AG PACASMAYO,OPERATIVO,08:45 - 16:45,Alianza NÂº 524,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,AG SANCHEZ CARRION,OPERATIVO,08:45 - 16:45,Alfonso Ugarte NÂº 567,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,LA LIBERTAD,PATAZ,CHILLIA,AG CHILLIA,OPERATIVO,08:15 - 13:45,Comercio S/N Centro Civico,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,LA LIBERTAD,ASCOPE,ASCOPE,PAP ASCOPE,OPERATIVO,08:45 - 16:45,Grau NÂ° 879,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,LA LIBERTAD,VIRU,VIRU,PAP VIRU,OPERATIVO,08:45 - 16:45,Lote NÂ° 08 Manzana A Urb. Las Palmeras,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,CAJAMARCA,CONTUMAZA,CONTUMAZÃ,PAP CONTUMAZA,OPERATIVO,08:15 - 13:45,Miguel Grau NÂº 212,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,LA LIBERTAD,GRAN CHIMU,CASCAS,PAP GRAN CHIMU,OPERATIVO,08:15 - 13:45,Progreso S/N Cdra 3,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,CAJAMARCA,CAJABAMBA,CAJABAMBA,PAP CAJABAMBA,OPERATIVO,08:45 - 16:45,Grau NÂº 224,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,CAJAMARCA,CELENDIN,CELENDÃN,PAP CELENDIN,OPERATIVO,08:45 - 16:45,Pardo NÂ° 610,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,CAJAMARCA,HUALGAYOC,BAMBAMARCA,PAP HUALGAYOC,OPERATIVO,08:45 - 16:45,07 de Junio NÂº 470,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,CAJAMARCA,SAN MARCOS,PEDRO GÃLVEZ,PAP SAN MARCOS,OPERATIVO,08:45 - 16:45,Alfonso Ugarte NÂ° 325,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,LA LIBERTAD,BOLIVAR,BOLÃVAR,PAP BOLIVAR,OPERATIVO,08:15 - 13:45,Bolivar NÂ° 319 - Mz 20 - Lote 8,1. Centros de atención del RENIEC a nivel nacional 2021.csv
2021-01-01,LA LIBERTAD,JULCAN,JULCÃN,PAP JULCAN,OPERATIVO PARCIAL,08:15 - 13:45,28 de Julio NÂ°201 Centro Civico,1. Centros de atención del RENIEC a nivel nacional 2021.csv
