PERIODO,DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO DE ATENCION,ESTADO,HORARIOS,DIRECCION,ARCHIVO_ORIGEN
2025-12-31,JUNIN,SATIPO,MAZAMARI,PAP MAZAMARI,OPERATIVO,08:45 a 16:45,AVENIDA SAN JUAN N° 377,17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,ANTONIO RAIMONDI,LLAMELLIN,PANP ANTONIO RAIMONDI,DESPLAZAMIENTO,08:45 a 16:45,Jirón Simón Bolívar N° 229,17. Reporte IV Trimestre 2025.csv
2025-12-31,JUNIN,HUANCAYO,EL TAMBO,OR HUANCAYO,OPERATIVO,08:45 a 16:45,AVENIDA MARISCAL CASTILLA Nº 1801,17. Reporte IV Trimestre 2025.csv
2025-12-31,JUNIN,TARMA,TARMA,OR TARMA,OPERATIVO,08:45 a 16:45,JIRÓN AREQUIPA Nº 939,17. Reporte IV Trimestre 2025.csv
2025-12-31,JUNIN,CHANCHAMAYO,LA MERCED,OR CHANCHAMAYO,OPERATIVO,08:45 a 16:45,PROLONGACIÓN TARMA Nº 242,17. Reporte IV Trimestre 2025.csv
2025-12-31,JUNIN,SATIPO,PANGOA,PAP PANGOA,OPERATIVO,08:45 a 16:45,CALLE 07 DE JUNIO Nº 641 PLAZA PRINCIPAL CENTRO CIVICO,17. Reporte IV Trimestre 2025.csv
2025-12-31,JUNIN,CONCEPCION,CONCEPCIÓN,PAP CONCEPCIÓN,OPERATIVO,08:45 a 16:45,JIRÓN RICARDO PALMA S/N MERCADO MODELO INTERIOR 1,17. Reporte IV Trimestre 2025.csv
2025-12-31,JUNIN,JAUJA,JAUJA,PAP JAUJA,OPERATIVO,08:45 a 16:45,JIRÓN SUCRE N° 889,17. Reporte IV Trimestre 2025.csv
2025-12-31,JUNIN,JUNIN,JUNIN,PAP JUNIN,OPERATIVO,08:45 a 16:45,JIRÓN SIMÓN BOLIVAR N° 820,17. Reporte IV Trimestre 2025.csv
2025-12-31,JUNIN,YAULI,SANTA ROSA DE SACCO,PAP YAULI,OPERATIVO,08:45 a 16:45,AVENIDA MIGUEL GRAU N° 309,17. Reporte IV Trimestre 2025.csv
2025-12-31,JUNIN,SATIPO,SATIPO,PAP SATIPO,OPERATIVO,08:45 a 16:45,AVENIDA MICAELA BASTIDAS 747 - INT. 1A - CENTRO CIVICO,17. Reporte IV Trimestre 2025.csv
2025-12-31,JUNIN,CHUPACA,CHUPACA,PAP CHUPACA,OPERATIVO,08:45 a 16:45,JIRÓN GRAU N° 195 - CENTRO CÍVICO,17. Reporte IV Trimestre 2025.csv
2025-12-31,JUNIN,CHANCHAMAYO,PICHANAQUI,PAP PICHANAQUI,OPERATIVO,08:45 a 16:45,JIRÓN INDEPENDENCIA S/N COLISEO MUNICIPAL,17. Reporte IV Trimestre 2025.csv
2025-12-31,JUNIN,HUANCAYO,HUANCAYO,"ORA REGIONAL DOCENTE MATERNO INFANTIL ""EL CARMEN""",OPERATIVO,08:45 a 16:30,JIRÓN PUNO Nº 911,17. Reporte IV Trimestre 2025.csv
2025-12-31,JUNIN,TARMA,TARMA,ORA DE APOYO FELIX MAYORCA SOTO,OPERATIVO,08:45 a 16:30,AVENIDA PACHECO Nº 362,17. Reporte IV Trimestre 2025.csv
2025-12-31,JUNIN,JAUJA,JAUJA,ORA HOSPITAL DOMINGO OLAVEGOYA,OPERATIVO,08:45 a 16:30,JIRÓN SAN MARTÍN Nº 1153 URB. OLAVEGOYA,17. Reporte IV Trimestre 2025.csv
2025-12-31,JUNIN,SATIPO,SATIPO,ORA DE APOYO MANUEL HIGA ARAKAKI,OPERATIVO,08:45 a 16:30,CALLE DANIEL ALCIDES CARRIÓN Nº 398,17. Reporte IV Trimestre 2025.csv
2025-12-31,JUNIN,CHANCHAMAYO,PICHANAQUI,ORA HOSPITAL DE APOYO PICHANAQUI,OPERATIVO,08:45 a 16:30,AVENIDA SAN MARTÍN S/N PICHANAKI,17. Reporte IV Trimestre 2025.csv
2025-12-31,JUNIN,HUANCAYO,HUANCAYO,ORA LA LIBERTAD,OPERATIVO,08:45 a 16:30,AV. ALAMEDA S/N. COOP. SANTA ISABEL,17. Reporte IV Trimestre 2025.csv
2025-12-31,JUNIN,CHANCHAMAYO,LA MERCED,ORA HOSPITAL REGIONAL DOCENTE DE MEDICINA TROPICAL DR. JULIO DEMARINI CARO,OPERATIVO,08:45 a 16:30,AVENIDA DANIEL A. CARRION S/N AV. PAMPA DEL CARMEN S/N,17. Reporte IV Trimestre 2025.csv
2025-12-31,JUNIN,HUANCAYO,EL TAMBO,ORA HOSPITAL NACIONAL RAMIRO PRIALE,OPERATIVO,08:45 a 16:30,AVENIDA INDEPENDENCIA Nº 266,17. Reporte IV Trimestre 2025.csv
2025-12-31,JUNIN,SATIPO,PANGOA,ORA HOSPITAL DE PANGOA,OPERATIVO,08:45 a 16:30,AVENIDA LA CULTURA S/N,17. Reporte IV Trimestre 2025.csv
2025-12-31,JUNIN,HUANCAYO,CHILCA,ORA CHILCA,OPERATIVO,08:45 a 16:30,JIRÓN HUMBOLT Nº 900,17. Reporte IV Trimestre 2025.csv
2025-12-31,JUNIN,HUANCAYO,HUANCAYO,MAC - JUNIN,OPERATIVO,08:30 a 16:30,AVENIDA FERROCARRIL N° 146 - 150 - CENTRO COMERCIAL MALL PLAZA,17. Reporte IV Trimestre 2025.csv
2025-12-31,JUNIN,HUANCAYO,EL TAMBO,AGENTE RENIEC - OR HUANCAYO,OPERATIVO,08:45 a 16:45,AVENIDA MARISCAL CASTILLA Nº 1801,17. Reporte IV Trimestre 2025.csv
2025-12-31,AYACUCHO,HUAMANGA,AYACUCHO,"ORA HOSPITAL REGIONAL DE AYACUCHO ""MIGUEL ANGEL MARISCAL LLERENA"" (MINSA)",OPERATIVO,08:45 a 16:45,Jirón Daniel Alcides Carrión S/N - 2da cuadra.,17. Reporte IV Trimestre 2025.csv
2025-12-31,AYACUCHO,LA MAR,AYNA,PAP AYNA -SAN FRANCISCO,OPERATIVO,08:45 a 16:45,Avenida 28 de Julio S/N San Francisco,17. Reporte IV Trimestre 2025.csv
2025-12-31,AYACUCHO,HUAMANGA,AYACUCHO,OR HUAMANGA,OPERATIVO,08:45 a 16:45,"Jirón San Martin Nº 473, 475, 477 y 477A",17. Reporte IV Trimestre 2025.csv
2025-12-31,AYACUCHO,CANGALLO,CANGALLO,PAP CANGALLO,OPERATIVO,08:45 a 16:45,Jirón Maria Parado de Bellido Nº 205,17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,HUARI,UCO,PANP UCO,DESPLAZAMIENTO,08:45 a 16:45,"Jirón Nicolas de Piérola S/N Plaza de Armas, 1er piso de la Municipalidad Distrital de Uco",17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,HUACAYBAMBA,HUACAYBAMBA,PANP HUACAYBAMBA,DESPLAZAMIENTO,08:45 a 16:45,"Avenida El Ejercito S/N Barrio San Pedro, 1er piso Municipalidad Provincial de Huacaybamba",17. Reporte IV Trimestre 2025.csv
2025-12-31,CUSCO,CALCA,CALCA,AG CALCA,OPERATIVO,08:45 a 16:45,Plaza de Armas S/N,17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,HUARI,SAN MARCOS,PANP SAN MARCOS,DESPLAZAMIENTO,08:45 a 16:45,"Jirón Progreso 332, Plaza de Armas de San Marcos",17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,HUARAZ,HUARAZ,AG HUARAZ,OPERATIVO,08:45 a 16:45,"Jirón Agustin Loly N° 756, Mz. 29A Lt. 27, Barrio La Soledad Alta, intersección con Jr. Agustin Mejía",17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,HUAYLAS,CARAZ,AG HUAYLAS,OPERATIVO,08:45 a 16:45,Jirón Raimondi N° 215,17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,HUARI,HUARI,AG HUARI,OPERATIVO,08:45 a 16:45,Jirón Libertad Mz. P2 Lt. 003,17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,POMABAMBA,POMABAMBA,AG POMABAMBA,OPERATIVO,08:45 a 16:45,Jirón Huaraz Nº 369,17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,SIHUAS,SIHUAS,AG SIHUAS,OPERATIVO,08:45 a 16:45,"Jirón Gomes Arias 106, Barrio Pingullo Alto",17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,PALLASCA,PAMPAS,AG PAMPAS,OPERATIVO,08:45 a 16:45,Calle Plaza de Armas S/N - Municipalidad Distrital de Pampas - 1er piso,17. Reporte IV Trimestre 2025.csv
2025-12-31,ANCASH,CASMA,CASMA,PAP CASMA,OPERATIVO,08:45 a 16:45,Sector Hijuela Mz. C Lt. 13 del Centro Cívico de la Municipalidad Provincial de Casma,17. Reporte IV Trimestre 2025.csv
