N°,OFICINAS REGIONALES/U.O.,DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO DE ATENCIÓN,CODIGO SIO DNI NUM,SIGLA TIPO DE LOCAL,"ESTADO
Operativo: Atiente de lunes a viernes
Deplazamiento: Atiende de acuerdo a la programación de RENIEC",HORARIO DE ATENCIÓN AL PUBLICO, ¿Este Centro de Atención toma fotografía? , ¿Este Centro de Atención entrega DNI Electrónico? , TRAMITE DE DNI MAYOR , ENTREGAS DE DNI , INSCRIPCION DE REGISTROS CIVILES , CERTIFICACION DE REGISTROS CIVILES , CERTIFICACION DEL RUIPN , EREP ,NOMBRE DE LA VIA,,,,,,,,,,,
1,01.- PIURA,LAMBAYEQUE,CHICLAYO,CHICLAYO,ORA HOSPITAL REGIONAL DOCENTE LAS MERCEDES (MINSA),53,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Avenida Luis Gonzáles  Nº 635,,,,,,,,,,,
2,01.- PIURA,LAMBAYEQUE,CHICLAYO,CHICLAYO,ORA HOSPITAL ALMANZOR AGUINAGA ASENJO (ESSALUD),88,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Plaza Plaza de la Seguridad Social S/N,,,,,,,,,,,
3,01.- PIURA,PIURA,SULLANA,SULLANA,ORA HOSPITAL DE APOYO II-SULLANA (MINSA),112,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Avenida Santa Rosa S/N,,,,,,,,,,,
4,01.- PIURA,CAJAMARCA,CUTERVO,CUTERVO,PAP CUTERVO,155,PAP,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Comercio N° 1103 Mz. 203 Lt. 14-Urb. Los Jardines ,,,,,,,,,,,
5,01.- PIURA,CAJAMARCA,CHOTA,CHOTA,AG CHOTA,156,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Jirón 30 de Agosto N° 848,,,,,,,,,,,
6,01.- PIURA,CAJAMARCA,SANTA CRUZ,SANTA CRUZ,PAP SANTA CRUZ,159,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Jirón Domingo Negrón Nº 399,,,,,,,,,,,
7,01.- PIURA,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,OR JOSÉ LEONARDO ORTIZ,179,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Calle Cacique Cinto Nº 317 Urb. Latina,,,,,,,,,,,
8,01.- PIURA,PIURA,AYABACA,FRÍAS,OR FRIAS,214,OR,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,SI,SI,SI,NO,Calle Lima Nº 235 - 2do piso,,,,,,,,,,,
9,01.- PIURA,LAMBAYEQUE,CHICLAYO,CHICLAYO,OR CHICLAYO,351,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Avenida Balta N° 680 y esquina con Av. Elias Aguirre,,,,,,,,,,,
10,01.- PIURA,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,PAP FERREÑAFE,352,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Calle Tres Marías Nº 717 – B,,,,,,,,,,,
11,01.- PIURA,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,PAP LAMBAYEQUE,353,PAP,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Huamachuco N° 342,,,,,,,,,,,
12,01.- PIURA,CAJAMARCA,CUTERVO,CUTERVO,ORA SANTA MARIA DE CUTERVO (MINSA),473,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Jirón Ica S/N,,,,,,,,,,,
13,01.- PIURA,CAJAMARCA,CHOTA,CHOTA,ORA HOSPITAL DE APOYO CHOTA - JOSE SOTO CADENILLAS (MINSA),474,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Jirón Ezequiel Montoya Nª 718,,,,,,,,,,,
14,01.- PIURA,PIURA,PIURA,PIURA,OR PIURA,521,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Calle Libertad Nº 568,,,,,,,,,,,
15,01.- PIURA,PIURA,AYABACA,AYABACA,PAP AYABACA,522,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,Calle Bolognesi N° 181,,,,,,,,,,,
16,01.- PIURA,PIURA,HUANCABAMBA,HUANCABAMBA,PAP HUANCABAMBA,523,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO, Complejo Terminal Terrestre S/N - Stand 14,,,,,,,,,,,
17,01.- PIURA,PIURA,MORROPON,CHULUCANAS,AG CHULUCANAS,524,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Cuzco N° 202,,,,,,,,,,,
18,01.- PIURA,PIURA,PAITA,PAITA,PAP PAITA,525,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,Jirón San Martin S/N Plaza de Armas - Municipalidad de Paita,,,,,,,,,,,
19,01.- PIURA,PIURA,SULLANA,SULLANA,OR SULLANA,526,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Calle Leoncio Prado Nº 517 ,,,,,,,,,,,
20,01.- PIURA,PIURA,TALARA,PARIÑAS,AG TALARA,527,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Mártires Petroleros B-3 Conjunto Habitacional - Talara,,,,,,,,,,,
21,01.- PIURA,PIURA,SECHURA,SECHURA,PAP SECHURA,528,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,Calle Dos de Mayo Nº 618 - Plaza de Armas - Municipalidad de Sechura,,,,,,,,,,,
22,01.- PIURA,PIURA,PIURA,TAMBO GRANDE,PAP TAMBOGRANDE,531,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,Jirón Piura 375,,,,,,,,,,,
23,01.- PIURA,PIURA,PIURA,PIURA,MAC - PIURA,576,MAC,OPERATIVO,08:30 a 16:30,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Sanchez Cerro con Wiesse Centro Comercial Real Plaza,,,,,,,,,,,
24,01.- PIURA,PIURA,PAITA,PAITA,ORA HOSPITAL LAS MERCEDES-PAITA (MINSA),611,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO, Zona Industrial Sector II Mz. H Lt. 1 Jr. Los Pescadores S/N ,,,,,,,,,,,
25,01.- PIURA,TUMBES,TUMBES,TUMBES,OR TUMBES,641,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Avenida Tumbes Norte  Nº 550,,,,,,,,,,,
26,01.- PIURA,TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,PANP CONTRALMIRANTE VILLAR - ZORRITOS,642,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,Avenida Grau Nº 305,,,,,,,,,,,
27,01.- PIURA,TUMBES,ZARUMILLA,ZARUMILLA,PAP ZARUMILLA,643,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Avenida El Ejérrcito Nº 105 - Interior Biblioteca Municipal,,,,,,,,,,,
28,01.- PIURA,LAMBAYEQUE,LAMBAYEQUE,OLMOS,PANP OLMOS,719,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,Avenida A. B. Leguía/Calle Alfonso Ugarte,,,,,,,,,,,
29,01.- PIURA,PIURA,PIURA,TAMBO GRANDE,ORA TAMBO GRANDE (MINSA),721,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,"Avenida Froilan Alama,, AA.HH.Froilan Alama",,,,,,,,,,,
30,01.- PIURA,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,ORA HOSPITAL PROVINCIAL DOCENTE BELEN-LAMBAYEQUE (MINSA),731,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Avenida Ramón Castilla Nº 597,,,,,,,,,,,
31,01.- PIURA,TUMBES,TUMBES,TUMBES,ORA HOSPITAL REGIONAL JOSE ALFREDO MENDOZA OLAVARRIA JAMO II-2 (MINSA),732,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Avenida 24 de Julio Nº 565 ,,,,,,,,,,,
32,01.- PIURA,PIURA,PIURA,CATACAOS,ORA CENTRO DE SALUD MATERNO INFANTIL-CATACAOS (MINSA),609,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Avenida Cayetano Heredia 1108 - Catacos,,,,,,,,,,,
33,01.- PIURA,PIURA,PIURA,Veintises de Octubre,ORA HOSPITAL DE LA AMISTAD PERU - COREA SANTA ROSA II-2 (MINSA),87,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Avenida Prolongación Av. Grau/Av. Chulucanas ,,,,,,,,,,,
34,01.- PIURA,LAMBAYEQUE,CHICLAYO,CHICLAYO,ORA HOSPITAL REGIONAL LAMBAYEQUE (MINSA),760,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Avenida Intersección de Carretera Panamerica Norte y Vía de Evitamiento S/N,,,,,,,,,,,
35,01.- PIURA,PIURA,MORROPON,CHULUCANAS,ORA HOSPITAL DE APOYO CHULUCANAS (MINSA),610,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Calle Daniel alcides carrion S/N Asent .H. vate manrique,,,,,,,,,,,
36,01.- PIURA,LAMBAYEQUE,CHICLAYO,CHICLAYO,PVM - OR CHICLAYO,351,PVM,OPERATIVO,08:45 a 16:45,NO,NO,SI,NO,NO,SI,NO,NO,Avenida Balta N° 680 y esquina con Av. Elias Aguirre,,,,,,,,,,,
37,01.- PIURA,PIURA,PIURA,PIURA,PVM - OR PIURA,521,PVM,OPERATIVO,08:45 a 16:45,SI,NO,SI,NO,NO,NO,NO,NO,Calle Libertad Nº 568,,,,,,,,,,,
38,02.- TRUJILLO,LA LIBERTAD,TRUJILLO,TRUJILLO,ORA REGIONAL DOCENTE DE TRUJILLO (MINSA),45,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Avenida Mansiche Nº 795,,,,,,,,,,,
39,02.- TRUJILLO,CAJAMARCA,CAJAMARCA,CAJAMARCA,ORA REGIONAL CAJAMARCA (MINSA),86,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,NO,SI,NO,NO,NO,Jirón Larry Jhonson S/N Cdra. 8,,,,,,,,,,,
40,02.- TRUJILLO,LA LIBERTAD,TRUJILLO,TRUJILLO,ORA HOSPITAL BELEN DE TRUJILLO (MINSA),139,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Calle Bolívar Nº 350,,,,,,,,,,,
41,02.- TRUJILLO,CAJAMARCA,CAJAMARCA,CAJAMARCA,OR CAJAMARCA,151,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Jirón Del Comercio Nº 633,,,,,,,,,,,
42,02.- TRUJILLO,CAJAMARCA,CAJABAMBA,CAJABAMBA,PAP CAJABAMBA,152,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,Jirón Miguel Grau Nº 224-226-228 Mz. 31 Lt. 2 ,,,,,,,,,,,
43,02.- TRUJILLO,CAJAMARCA,CELENDIN,CELENDÍN,PAP CELENDIN,153,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,Jirón Pardo N° 610,,,,,,,,,,,
44,02.- TRUJILLO,CAJAMARCA,CONTUMAZA,CONTUMAZÁ,PAP CONTUMAZA,154,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Jirón Miguel Grau Nº 212,,,,,,,,,,,
