N°,OFICINAS REGIONALES/U.O.,DEPARTAMENTO,PROVINCIA,DISTRITO,CODIGO SIO DNI NUM,SIGLA TIPO DE LOCAL,ESTADO,CENTRO DE ATENCIÓN,HORARIO DE ATENCIÓN AL PUBLICO, ¿Este Centro de Atención toma fotografía? , ¿Este Centro de Atención entrega DNI Electrónico? , TRAMITE DE DNI MAYOR , TRAMITE DE DNI MENOR , ENTREGAS DE DNI , INSCRIPCION DE REGISTROS CIVILES , CERTIFICACION DE REGISTROS CIVILES , CERTIFICACION DEL RUIPN , EREP ,NOMBRE DE LA VIA
1,01.- PIURA,LAMBAYEQUE,CHICLAYO,CHICLAYO,53,ORA,OPERATIVO,ORA HOSPITAL REGIONAL DOCENTE LAS MERCEDES (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Avenida Luis Gonzáles  Nº 635
2,01.- PIURA,LAMBAYEQUE,CHICLAYO,CHICLAYO,88,ORA,OPERATIVO,ORA HOSPITAL ALMANZOR AGUINAGA ASENJO (ESSALUD),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Plaza Plaza de la Seguridad Social S/N
3,01.- PIURA,PIURA,SULLANA,SULLANA,112,ORA,OPERATIVO,ORA HOSPITAL DE APOYO II-SULLANA (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Avenida Santa Rosa S/N
4,01.- PIURA,CAJAMARCA,CUTERVO,CUTERVO,155,PAP,OPERATIVO,PAP CUTERVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Comercio N° 1103 Mz. 203 Lt. 14-Urb. Los Jardines 
5,01.- PIURA,CAJAMARCA,CHOTA,CHOTA,156,AG,OPERATIVO,AG CHOTA,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Jirón 30 de Agosto N° 848
6,01.- PIURA,CAJAMARCA,SANTA CRUZ,SANTA CRUZ,159,PAP,OPERATIVO,PAP SANTA CRUZ,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Jirón Domingo Negrón Nº 399
7,01.- PIURA,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,179,OR,OPERATIVO,OR JOSÉ LEONARDO ORTIZ,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Calle Cacique Cinto Nº 317 Urb. Latina
8,01.- PIURA,PIURA,AYABACA,FRÍAS,214,OR,OPERATIVO,OR FRIAS,08:45 a 16:45,SI,NO,SI,SI,SI,SI,SI,SI,NO,Calle Lima Nº 235 - 2do piso
9,01.- PIURA,LAMBAYEQUE,CHICLAYO,CHICLAYO,351,OR,OPERATIVO,OR CHICLAYO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Avenida Balta N° 680 y esquina con Av. Elias Aguirre
10,01.- PIURA,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,352,PAP,OPERATIVO,PAP FERREÑAFE,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Calle Tres Marías Nº 717 – B
11,01.- PIURA,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,353,PAP,OPERATIVO,PAP LAMBAYEQUE,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Huamachuco N° 342
12,01.- PIURA,CAJAMARCA,CUTERVO,CUTERVO,473,ORA,OPERATIVO,ORA SANTA MARIA DE CUTERVO (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Jirón Ica S/N
13,01.- PIURA,CAJAMARCA,CHOTA,CHOTA,474,ORA,OPERATIVO,ORA HOSPITAL DE APOYO CHOTA - JOSE SOTO CADENILLAS (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Jirón Ezequiel Montoya Nª 718
14,01.- PIURA,PIURA,PIURA,PIURA,521,OR,OPERATIVO,OR PIURA,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Calle Libertad Nº 568
15,01.- PIURA,PIURA,AYABACA,AYABACA,522,PAP,OPERATIVO,PAP AYABACA,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Calle Bolognesi N° 181
16,01.- PIURA,PIURA,HUANCABAMBA,HUANCABAMBA,523,PAP,OPERATIVO,PAP HUANCABAMBA,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO, Complejo Terminal Terrestre S/N - Stand 14
17,01.- PIURA,PIURA,MORROPON,CHULUCANAS,524,AG,OPERATIVO,AG CHULUCANAS,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Cuzco N° 202
18,01.- PIURA,PIURA,PAITA,PAITA,525,PAP,OPERATIVO,PAP PAITA,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Jirón San Martin S/N Plaza de Armas - Municipalidad de Paita
19,01.- PIURA,PIURA,SULLANA,SULLANA,526,OR,OPERATIVO,OR SULLANA,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Calle Leoncio Prado Nº 517 
20,01.- PIURA,PIURA,TALARA,PARIÑAS,527,AG,OPERATIVO,AG TALARA,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Mártires Petroleros B-3 Conjunto Habitacional - Talara
21,01.- PIURA,PIURA,SECHURA,SECHURA,528,PAP,OPERATIVO,PAP SECHURA,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Calle Dos de Mayo Nº 618 - Plaza de Armas - Municipalidad de Sechura
22,01.- PIURA,PIURA,PIURA,TAMBO GRANDE,531,PAP,OPERATIVO,PAP TAMBOGRANDE,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Jirón Piura 375
23,01.- PIURA,PIURA,PIURA,PIURA,576,MAC,OPERATIVO,MAC - PIURA,08:30 a 16:30,SI,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Sanchez Cerro con Wiesse Centro Comercial Real Plaza
24,01.- PIURA,PIURA,PAITA,PAITA,611,ORA,OPERATIVO,ORA HOSPITAL LAS MERCEDES-PAITA (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO, Zona Industrial Sector II Mz. H Lt. 1 Jr. Los Pescadores S/N 
25,01.- PIURA,TUMBES,TUMBES,TUMBES,641,OR,OPERATIVO,OR TUMBES,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Avenida Tumbes Norte  Nº 550
26,01.- PIURA,TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,642,PANP,DESPLAZAMIENTO,PANP CONTRALMIRANTE VILLAR - ZORRITOS,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO,Avenida Grau Nº 305
27,01.- PIURA,TUMBES,ZARUMILLA,ZARUMILLA,643,PAP,OPERATIVO,PAP ZARUMILLA,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Avenida El Ejérrcito Nº 105 - Interior Biblioteca Municipal
28,01.- PIURA,LAMBAYEQUE,LAMBAYEQUE,OLMOS,719,PANP,DESPLAZAMIENTO,PANP OLMOS,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO,Avenida A. B. Leguía/Calle Alfonso Ugarte
29,01.- PIURA,PIURA,PIURA,TAMBO GRANDE,721,ORA,OPERATIVO,ORA TAMBO GRANDE (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,"Avenida Froilan Alama,, AA.HH.Froilan Alama"
