CENTROS DE ATENCIÓN DEL RENIEC A NIVEL NACIONAL A JULIO 2025;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
N°;CODIGO SIO DNI NUM;DEPARTAMENTO;PROVINCIA;DISTRITO;OFICINAS REGIONALES/U.O.;TIPO DE LOCAL;SIGLA TIPO DE LOCAL;CENTRO DE ATENCIÓN;HORARIO DE ATENCIÓN AL PUBLICO;NOMBRE DE LA VIA;"ESTADO
Operativo: Atiente de lunes a viernes
Deplazamiento: Atiende de acuerdo a la programación de RENIEC"; ¿Este Centro de Atención toma fotografía? ; ¿Este Centro de Atención entrega DNI Electrónico? ; TRAMITE DE DNI MAYOR ; TRAMITE DE DNI MENOR ; ENTREGAS DE DNI ; INSCRIPCION DE REGISTROS CIVILES ; CERTIFICACION DE REGISTROS CIVILES ; CERTIFICACION DEL RUIPN ; EREP ;;;
1;53;LAMBAYEQUE;CHICLAYO;CHICLAYO;;;;ORA HOSPITAL REGIONAL DOCENTE LAS MERCEDES (MINSA);08:45 a 16:30 ;Avenida Luis Gonzáles  Nº 635;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
2;88;LAMBAYEQUE;CHICLAYO;CHICLAYO;;;;ORA HOSPITAL ALMANZOR AGUINAGA ASENJO (ESSALUD);08:45 a 16:30;Plaza Plaza de la Seguridad Social S/N;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
3;112;PIURA;SULLANA;SULLANA;;;;ORA HOSPITAL DE APOYO II-SULLANA (MINSA);08:45 a 16:30;Avenida Santa Rosa S/N;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
4;155;CAJAMARCA;CUTERVO;CUTERVO;;;;PAP CUTERVO;08:45 a 16:45;Jirón Comercio N° 1105-1107 Mz. 203 Lt. 14-Urb. Los Jardines ;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
5;156;CAJAMARCA;CHOTA;CHOTA;;;;AG CHOTA;08:45 a 16:45;Jirón 30 de Agosto N° 848;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
6;159;CAJAMARCA;SANTA CRUZ;SANTA CRUZ;;;;PAP SANTA CRUZ;08:45 a 16:45;Jirón Domingo Negrón Nº 399;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
7;179;LAMBAYEQUE;CHICLAYO;JOSE LEONARDO ORTIZ;;;;OR JOSÉ LEONARDO ORTIZ;08:45 a 16:45;Calle Cacique Cinto Nº 317 Urb. Latina;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
8;351;LAMBAYEQUE;CHICLAYO;CHICLAYO;;;;OR CHICLAYO;08:45 a 16:45;Avenida Balta N° 680 y esquina con Av. Elias Aguirre;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
9;352;LAMBAYEQUE;FERREÑAFE;FERREÑAFE;;;;PAP FERREÑAFE;08:45 a 16:45;Calle Tres Marías Nº 717 – B;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
10;353;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;;;;PAP LAMBAYEQUE;08:45 a 16:45;Avenida Huamachuco N° 342;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
11;473;CAJAMARCA;CUTERVO;CUTERVO;;;;ORA SANTA MARIA DE CUTERVO (MINSA);08:45 a 16:30;Jirón Ica S/N;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
12;474;CAJAMARCA;CHOTA;CHOTA;;;;ORA HOSPITAL DE APOYO CHOTA - JOSE SOTO CADENILLAS (MINSA);08:45 a 16:30;Jirón Ezequiel Montoya Nª 718;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
13;521;PIURA;PIURA;PIURA;;;;OR PIURA;08:45 a 16:45;Calle Libertad Nº 568;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
14;522;PIURA;AYABACA;AYABACA;;;;PAP AYABACA;08:45 a 16:45;Calle Bolognesi N° 181;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
15;523;PIURA;HUANCABAMBA;HUANCABAMBA;;;;PAP HUANCABAMBA;08:45 a 16:45; Complejo Terminal Terrestre S/N - Stand 14;OPERATIVO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
16;524;PIURA;MORROPON;CHULUCANAS;;;;AG CHULUCANAS;08:45 a 16:45;Jirón Cuzco N° 202;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
17;525;PIURA;PAITA;PAITA;;;;PAP PAITA;08:45 a 16:45;Jirón San Martin S/N Plaza de Armas - Municipalidad de Paita;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
18;526;PIURA;SULLANA;SULLANA;;;;OR SULLANA;08:45 a 16:45;Calle Leoncio Prado Nº 517 ;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
19;527;PIURA;TALARA;PARIÑAS;;;;AG TALARA;08:45 a 16:45;Avenida Mártires Petroleros B-3 Conjunto Habitacional - Talara;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
20;528;PIURA;SECHURA;SECHURA;;;;PAP SECHURA;08:45 a 16:45;Calle Dos de Mayo Nº 618 - Plaza de Armas - Municipalidad de Sechura;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
21;531;PIURA;PIURA;TAMBO GRANDE;;;;PAP TAMBOGRANDE;08:45 a 16:45;Jirón Piura 375;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
22;576;PIURA;PIURA;PIURA;;;;MAC - PIURA;08:30 a 16:30;Avenida Sanchez Cerro con Wiesse Centro Comercial Real Plaza;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
23;611;PIURA;PAITA;PAITA;;;;ORA HOSPITAL LAS MERCEDES-PAITA (MINSA);08:45 a 16:30; Zona Industrial Sector II Mz. H Lt. 1 Jr. Los Pescadores S/N ;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
24;641;TUMBES;TUMBES;TUMBES;;;;OR TUMBES;08:45 a 16:45;Avenida Tumbes Norte  Nº 550;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
25;642;TUMBES;CONTRALMIRANTE VILLAR;ZORRITOS;;;;PANP CONTRALMIRANTE VILLAR - ZORRITOS;08:45 a 16:45;Avenida Grau Nº 305;DESPLAZAMIENTO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
26;643;TUMBES;ZARUMILLA;ZARUMILLA;;;;PAP ZARUMILLA;08:45 a 16:45;Avenida El Ejérrcito Nº 105 - Interior Biblioteca Municipal;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
27;721;PIURA;PIURA;TAMBO GRANDE;;;;ORA TAMBO GRANDE (MINSA);08:45 a 16:30;Avenida Froilan Alama,, AA.HH.Froilan Alama;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
28;731;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;;;;ORA HOSPITAL PROVINCIAL DOCENTE BELEN-LAMBAYEQUE (MINSA);08:45 a 16:30;Avenida Ramón Castilla Nº 597;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
29;732;TUMBES;TUMBES;TUMBES;;;;ORA HOSPITAL REGIONAL JOSE ALFREDO MENDOZA OLAVARRIA JAMO II-2 (MINSA);08:45 a 16:30;Avenida 24 de Julio Nº 565 ;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
30;609;PIURA;PIURA;CATACAOS;;;;ORA CENTRO DE SALUD MATERNO INFANTIL-CATACAOS (MINSA);08:45 a 16:30;Avenida Cayetano Heredia 1108 - Catacos;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
31;87;PIURA;PIURA;VEINTISEIS DE OCTUBRE;;;;ORA HOSPITAL DE LA AMISTAD PERU - COREA SANTA ROSA II-2 (MINSA);08:45 a 16:30;Avenida Prolongación Av. Grau/Av. Chulucanas ;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
32;760;LAMBAYEQUE;CHICLAYO;CHICLAYO;;;;ORA HOSPITAL REGIONAL LAMBAYEQUE (MINSA);08:45 a 16:30;Avenida Intersección de Carretera Panamerica Norte y Vía de Evitamiento S/N;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
33;610;PIURA;MORROPON;CHULUCANAS;;;;ORA HOSPITAL DE APOYO CHULUCANAS (MINSA);08:45 a 16:30;Calle Daniel alcides carrion S/N Asent .H. vate manrique;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
34;600016;LAMBAYEQUE;CHICLAYO;CHICLAYO;;;;AGENTE RENIEC - OR CHICLAYO;08:45 a 16:45;Avenida Balta N° 680 y esquina con Av. Elias Aguirre;OPERATIVO;NO;NO;SI;NO;NO;NO;SI;NO;NO;;;
35;600022;PIURA;PIURA;PIURA;;;;AGENTE RENIEC - OR PIURA;08:45 a 16:45;Calle Libertad Nº 568;OPERATIVO;NO;NO;SI;NO;NO;NO;SI;NO;NO;;;
36;45;LA LIBERTAD;TRUJILLO;TRUJILLO;;;;ORA REGIONAL DOCENTE DE TRUJILLO (MINSA);08:45 a 13:00 - 14:00 a 16:30;Avenida Mansiche Nº 795;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
37;86;CAJAMARCA;CAJAMARCA;CAJAMARCA;;;;ORA REGIONAL CAJAMARCA (MINSA);08:45 a 13:00 - 14:00 a 16:30 ;Jirón Larry Jhonson S/N Cdra. 8;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
38;139;LA LIBERTAD;TRUJILLO;TRUJILLO;;;;ORA HOSPITAL BELEN DE TRUJILLO (MINSA);08:45 a 16:30;Calle Bolívar Nº 350;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
39;151;CAJAMARCA;CAJAMARCA;CAJAMARCA;;;;OR CAJAMARCA;08:45 a 16:45;Jirón Del Comercio Nº 633;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
40;152;CAJAMARCA;CAJABAMBA;CAJABAMBA;;;;PAP CAJABAMBA;08:45 a 16:45;Jirón Miguel Grau Nº 224-226-228 Mz. 31 Lt. 2 ;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
41;153;CAJAMARCA;CELENDIN;CELENDÍN;;;;PAP CELENDIN;08:45 a 16:45;Jirón Pardo N° 610;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
42;154;CAJAMARCA;CONTUMAZA;CONTUMAZÁ;;;;PAP CONTUMAZA;08:45 a 13:00 - 14:00 a 16:45 ;Jirón Miguel Grau Nº 212;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
43;157;CAJAMARCA;HUALGAYOC;BAMBAMARCA;;;;PAP HUALGAYOC;08:45 a 16:45;Jirón 07 de Junio Nº 470;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
44;160;CAJAMARCA;SAN MIGUEL;SAN MIGUEL;;;;PAP SAN MIGUEL;08:45 a 13:00 - 14:00 a 16:45 ;Jirón Bolognesi N° 364;OPERATIVO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
45;162;CAJAMARCA;SAN MARCOS;PEDRO GÁLVEZ;;;;PAP SAN MARCOS;08:45 a 16:45;Jirón Alfonso Ugarte N° 325 (Mz. 46 Lt. 17 Centro Poblado San Marcos).;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
46;163;CAJAMARCA;SAN PABLO;SAN PABLO;;;;PAP SAN PABLO;08:45 a 13:00 - 14:00 a 16:45 ;Jirón Plaza de Armas S/N;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
47;173;LA LIBERTAD;TRUJILLO;VICTOR LARCO HERRERA;;;;OR TRUJILLO II;08:45 a 16:45;Avenida Víctor Larco N° 1096. Urb. Vista Alegre;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
48;293;LA LIBERTAD;PATAZ;PARCOY;;;;OR PARCOY;08:45 a 13:00 - 14:00 a 16:45 ;Jirón San Martín N° 859;OPERATIVO;SI;NO;SI;SI;SI;SI;SI;SI;NO;;;
49;310;LA LIBERTAD;TRUJILLO;TRUJILLO;;;;OR TRUJILLO ;08:45 a 16:45;Avenida Pablo Casals Mz. A Lt. 6 Urb. Los Cedros;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
50;311;LA LIBERTAD;BOLIVAR;BOLÍVAR;;;;PAP BOLIVAR;08:45 a 13:00 - 14:00 a 16:45 ;Jirón Bolivar S/N - Mz. 20 Lt. 8;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
51;312;LA LIBERTAD;SANCHEZ CARRION;HUAMACHUCO;;;;AG SANCHEZ CARRION;08:45 a 16:45;Jirón Alfonso Ugarte N° 567;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
52;313;LA LIBERTAD;OTUZCO;OTUZCO;;;;AG OTUZCO;08:45 a 16:45;Pasaje Elías Armas Castillo Lt. 5-E1 Mz. 28;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
53;314;LA LIBERTAD;PACASMAYO;SAN PEDRO DE LLOC;;;;AG PACASMAYO;08:45 a 16:45;Jirón Alianza Nº 524;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
54;316;LA LIBERTAD;SANTIAGO DE CHUCO;SANTIAGO DE CHUCO;;;;PAP SANTIAGO DE CHUCO;08:45 a 13:00 - 14:00 a 16:45 ;Calle Luis de La Puente Uceda  Nº 1120;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
55;317;LA LIBERTAD;ASCOPE;ASCOPE;;;;PAP ASCOPE;08:45 a 16:45;Calle Miguel Grau N° 879, Ascope - 1er Piso;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
56;318;LA LIBERTAD;CHEPEN;CHEPEN;;;;PAP CHEPEN;08:45 a 16:45;Calle Manuel Seoane  N° 136. Chepen;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
57;320;LA LIBERTAD;GRAN CHIMU;CASCAS;;;;PAP GRAN CHIMU;08:45 a 13:00 - 14:00 a 16:45 ;Jr. San Martin S/N ;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
58;321;LA LIBERTAD;VIRU;VIRU;;;;PAP VIRU;08:45 a 16:45;  Mz. A Lt. N° 08 Urb. Las Palmeras;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
59;358;CAJAMARCA;HUALGAYOC;BAMBAMARCA;;;;ORA BAMBAMARCA - TITO VILLAR CABEZAS (MINSA);08:45 a 13:00 - 14:00 a 16:30;Caserío El Frutillo. Bambamarca;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
