,,,,,,,,,,,,,,,,,,
N°,OFICINAS REGIONALES/U.O.,DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO DE ATENCIÓN,CODIGO SIO DNI NUM,SIGLA TIPO DE LOCAL,"ESTADO
Operativo: Atiente de lunes a viernes
Deplazamiento: Atiende de acuerdo a la programación de RENIEC",HORARIO DE ATENCIÓN AL PUBLICO, ¿Este Centro de Atención toma fotografía? , ¿Este Centro de Atención entrega DNI Electrónico? , TRAMITE DE DNI MAYOR , TRAMITE DE DNI MENOR , ENTREGAS DE DNI , INSCRIPCION DE REGISTROS CIVILES , CERTIFICACION DE REGISTROS CIVILES , CERTIFICACION DEL RUIPN ,NOMBRE DE LA VIA
1,01.- PIURA,LAMBAYEQUE,CHICLAYO,CHICLAYO,ORA HOSPITAL REGIONAL DOCENTE LAS MERCEDES,53,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,Luis Gonzáles  Nº 635
2,01.- PIURA,LAMBAYEQUE,CHICLAYO,CHICLAYO,ORA HOSPITAL ALMANZOR AGUINAGA ASENJO,88,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,Plaza de la Seguridad Social S/N
3,01.- PIURA,PIURA,SULLANA,SULLANA,ORA HOSPITAL DE APOYO II-SULLANA,112,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,Santa Rosa S/N
4,01.- PIURA,CAJAMARCA,CUTERVO,CUTERVO,PAP CUTERVO,155,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Jr. Comercio N° 1103 Mz. 203 Lt. 14-Urb. Los Jardines 
5,01.- PIURA,CAJAMARCA,CHOTA,CHOTA,AG CHOTA,156,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Jr. 30 de Agosto N° 848
6,01.- PIURA,CAJAMARCA,SANTA CRUZ,SANTA CRUZ,PAP SANTA CRUZ,159,PAP,OPERATIVO,08:45 a 16:30,NO,NO,SI,SI,SI,NO,SI,SI,Domingo Negrón Nº 399
7,01.- PIURA,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,OR JOSÉ LEONARDO ORTIZ,179,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Cacique Cinto Nº 317 Urb. Latina
8,01.- PIURA,PIURA,AYABACA,FRÍAS,OR FRIAS,214,OR,OPERATIVO,08:45 a 16:30,NO,NO,SI,SI,SI,SI,SI,NO,Lima Nº 235 - 2do piso
9,01.- PIURA,LAMBAYEQUE,CHICLAYO,CHICLAYO,OR CHICLAYO,351,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Balta N° 680 y esquina con Av. Elias Aguirre
10,01.- PIURA,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,PAP FERREÑAFE,352,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Tres Marías Nº 717 – B
